subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_vel
AE01,1,1,1,1232,1252,0.317585462822765,1.94171752376305,232,1.62413206094028,98.8518369574598,2236,2276,3.10145846211455,-3.92309477180862,236,-7.02455323392317,270.105354132583,1236,1248,0.659767548145482,1.67609471050492,236,1.01632716235944,85.1062939440455,2232,2276,3.2045465946968,-4.44224338106637,232,-7.64678997576317,252.471471569819,1232,1248,0.44805944326017,1.72774818709856,232,1.27968874383839,91.9790654507526,2232,2276,3.24135744750936,-4.1826690764375,232,-7.42402652394686,261.288412851201,2176,2208,-4.66449752482553,-8.60051374956522,1176,-3.93601622473969,180.431138256739,2176,2208,-4.66449752482553,-8.60051374956522,176,-3.93601622473969,180.431138256739,1172,1196,-13.2255927556583,-11.8322161706526,172,1.3933765850057,59.8102806628917,2172,2236,-8.05121171867626,-15.0500835426275,172,-6.99887182395121,165.463399132903,1176,1192,-9.51984021137356,-8.70291595179116,176,0.816924259582407,43.8127632592039,2176,2236,-6.52717588517245,-11.9737358841028,176,-5.44655999893031,145.555440501791
AE01,2,1,1,1200,1220,1.13972232741457,-0.676998699107961,200,-1.81672102652253,114.267403230325,2208,2272,-1.35134785708832,9.56340684008301,208,10.9147546971713,223.307187066981,1200,1220,0.859148482339141,-0.898530062293351,200,-1.75767854463249,113.036506841957,2204,2268,-1.86056332806468,8.7042633816515,204,10.5648267097162,213.429552590123,1200,1220,0.999435404876857,-0.787764380700656,200,-1.78719978557751,113.651955036141,2204,2268,-1.62071876443195,9.08594219987889,204,10.7066609643108,214.373241049768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2156,2208,-6.83020150718582,0.354798151480482,156,7.1849996586663,235.539239017602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2152,2224,-14.30572603194,-3.69623906674695,152,10.6094869651931,255.678914986747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2152,2216,-10.6171357109385,-1.8360507830026,152,8.78108492793588,238.839930844012
AE01,3,1,1,1228,1272,1.14956610966799,-5.40263426199443,228,-6.55220037166242,216.410913564236,2212,2288,-6.63948337083082,10.1608271265754,212,16.8003104974062,321.137883300394,1228,1272,1.15448797537854,-6.04124089232327,228,-7.19572886770182,245.247087700987,2208,2296,-7.55344440181254,9.3310340117849,208,16.8844784135974,297.682997810394,1228,1272,1.15202704252327,-5.72193757715885,228,-6.87396461968212,230.829000632612,2208,2292,-7.12925122023258,9.61975942572226,208,16.7490106459548,306.664198342789,1164,1200,-5.8308559737393,-9.50367612578579,164,-3.6728201520465,158.662995252792,2140,2208,-11.0020726987705,1.65469648402548,140,12.656769182796,311.257174771572,1164,1228,-12.2984557508814,-16.9255806964107,164,-4.62712494552932,94.9316052774718,2140,2220,-19.1447322217513,-3.10083304599461,140,16.0438991757567,376.871772128885,1164,1228,-9.06465586231034,-13.5231253531763,164,-4.45846949086593,108.39841063108,2140,2216,-15.0734024602609,-0.864484415638894,140,14.208918044622,332.092139163272
AE01,4,1,1,1204,1232,1.73758830078831,5.2342208320336,204,3.49663253124529,171.091208033725,2244,2324,3.96964984090853,-8.0029730776952,244,-11.9726229186037,209.277856977171,1204,1232,1.20370568326776,4.37126898922103,204,3.16756330595327,146.139100502762,2244,2328,3.83487098684711,-9.28068541310263,244,-13.1155563999497,223.657353027815,1204,1232,1.47064699202803,4.80274491062732,204,3.33209791859928,158.615154268243,2244,2328,3.90226041387782,-8.74317509940541,244,-12.6454355132832,216.467605002493,1140,1164,-5.16818161285237,-3.63580996071418,140,1.53237165213819,85.2404483836909,2180,2264,-3.88718525454644,-11.0241723794409,180,-7.13698712489445,122.577626419651,1140,1180,-11.4877820023731,-9.11767641205939,140,2.37010559031371,75.1982869975155,2184,2268,-9.09666829917533,-18.5577034824177,184,-9.46103518324234,242.69366647473,1140,1172,-8.32798180761274,-6.43064941298098,140,1.89733239463176,80.2193676906031,2180,2268,-6.36853131844166,-14.8770102416733,180,-8.50847892323165,158.040887097199
AE01,5,1,1,1208,1256,1.23815702601364,7.70581170767051,208,6.46765468165687,193.402408314293,2220,2308,9.09835106655488,-7.79766294880155,220,-16.8960140153564,289.408977509829,1204,1256,0.209262951713567,6.3453994080186,204,6.13613645630503,184.752699960464,2224,2308,8.21772330078046,-9.13195305222708,224,-17.3496763530075,288.671220284666,1204,1256,0.691719109400229,7.02560555784455,204,6.33388644844432,189.077554137379,2224,2308,8.64603454134744,-8.46480800051432,224,-17.1108425418618,289.040098897247,1136,1188,-4.80440641914601,-1.10572428838431,136,3.6986821307617,119.352887580509,2152,2236,0.313708740894388,-11.3297123974973,152,-11.6434211383917,280.549814807774,1136,1236,-13.7168318494259,-4.400903544315,136,9.31592830511091,210.248944453647,2168,2228,-2.69288240968532,-19.8457759058181,168,-17.1528934961328,471.037977425434,1136,1200,-9.26061913428596,-3.29460924357985,136,5.96600989070611,149.541127035019,2152,2232,-1.13209821865781,-15.2248175001842,152,-14.0927192815264,305.310280750576
AE01,6,1,1,1204,1248,2.52184645751116,8.22495805805934,204,5.70311160054818,191.71129458631,2204,2244,7.44454465564869,-0.770537015737388,204,-8.21508167138607,293.438640678699,1204,1248,1.56785669678182,6.75847621352737,204,5.19061951674556,172.57084236608,2200,2248,6.75119260989172,-1.53587510665602,200,-8.28706771654774,273.918489848912,1204,1248,2.04485157714649,7.49171713579336,204,5.44686555864687,182.141068476195,2204,2248,7.03958497321274,-1.18151272788815,204,-8.22109770110089,283.678565263805,1160,1200,-5.06771537172196,-1.78016538959409,160,3.28754998212786,131.977858098531,2152,2192,-1.71156868831633,-7.22774276714765,152,-5.51617407883132,192.608320616446,1156,1200,-11.9449399529428,-8.16196431714641,156,3.78297563579643,127.165871895623,2160,2216,-8.0444205147871,-14.35286430462,160,-6.30844378983291,185.139326031213,1156,1200,-8.5595689181981,-4.97106485337025,156,3.58850406482785,128.683842557154,2156,2212,-4.83173903985189,-10.9016850099326,156,-6.06994597008072,144.109256066903
AE01,7,1,1,1208,1264,2.33507602162219,10.3467724406453,208,8.01169641902311,181.264222979164,2128,2168,10.1703680819471,5.89268628468057,128,-4.2776817972665,130.514621454836,1208,1264,1.44238504267919,8.97348859010602,208,7.53110354742683,174.856811462159,2128,2168,9.23991642661347,4.95333152553285,128,-4.28658490108063,138.71136256425,1208,1264,1.88873053215069,9.66013051537566,208,7.77139998322497,178.060517220661,2128,2168,9.70514225428027,5.42300890510671,128,-4.28213334917356,134.612992009543,1152,1204,-4.8070024796849,0.221728984466148,152,5.02873146415105,133.125636300439,2080,2116,0.159054819490539,-2.05056681176468,80,-2.20962163125522,71.0651682969904,1152,1212,-13.4151941855661,-7.57017790412758,152,5.84501628143855,155.087952875721,2096,2116,-7.68789146278518,-8.52861051346492,96,-0.840719050679736,41.7641831093516,1152,1208,-9.11109833262552,-3.76118754704558,152,5.34991078557994,140.855885494457,2080,2116,-3.56107445165965,-5.2895886626148,80,-1.72851421095515,50.3173002349785
AE01,8,1,1,1180,1220,2.27608537837986,8.47318975302828,180,6.19710437464842,232.988062969273,2220,2240,-1.19386228149881,-3.53575736452454,220,-2.34189508302573,131.509682463468,1180,1220,1.43254352776496,7.02053804225771,180,5.58799451449275,209.589340464595,2216,2240,-2.06958092065426,-4.56702715462108,216,-2.49744623396682,134.564119933827,1180,1220,1.85431445307241,7.746863897643,180,5.89254944457059,221.288701716934,2216,2240,-1.56650584912311,-4.05139225957281,216,-2.4848864104497,132.53760453921,1140,1184,-4.73778613372095,-1.20511010036275,140,3.5326760333582,109.30760942873,2184,2200,-7.18813568617801,-8.1151629334031,184,-0.927027247225089,61.0406460724235,1140,1184,-10.9876646135608,-6.98048779792548,140,4.00717681563527,126.093946142287,2176,2208,-15.3316139217512,-17.4034090250532,176,-2.07179510330201,83.8834998555702,1140,1184,-7.86272537364085,-4.09279894914412,140,3.76992642449674,117.700777785508,2176,2204,-11.1540471503414,-12.7516077571011,176,-1.59756060675973,71.0225185026162
AE01,9,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2216,2308,10.1417435077467,-7.09085670807361,216,-17.2326002158203,247.28502253052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2212,2308,9.26389932913785,-8.55265302346204,212,-17.8165523525999,259.370246373976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2216,2308,9.64284786758062,-7.82175486576782,216,-17.4646027333484,253.327634452248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2148,2232,0.0526266149547447,-11.1598042605385,148,-11.2124308754933,194.912877010383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2148,2272,-2.65917367086361,-18.1514286970181,148,-15.4922550261545,296.002587069232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2148,2248,-1.30327352795443,-13.9867589552663,148,-12.6834854273119,236.761222254948
AE01,10,1,1,1220,1252,2.38668877581965,6.19214731481117,220,3.80545853899152,140.53391780185,2220,2312,10.1584417987261,-7.15145902741429,220,-17.3099008261404,286.98035521593,1220,1252,1.56293651525447,5.08525793035486,220,3.52232141510039,132.77705237238,2220,2316,9.4388748288024,-8.91102503459121,220,-18.3498998633936,283.749783154271,1220,1252,1.97481264553706,5.63870262258301,220,3.66388997704596,136.574116784093,2220,2316,9.79865831376426,-8.10635407386162,220,-17.9050123876259,284.580011292206,1148,1188,-4.71943584410486,-2.57844872844396,148,2.1409871156609,80.0272845759751,2152,2240,0.0747991303948808,-10.4022787993866,152,-10.4770779297814,182.347023567211,1156,1188,-12.4100637091392,-10.0328441724453,156,2.37721953669387,83.6137379663617,2160,2256,-6.91116745255651,-19.3052636322239,160,-12.3940961796674,181.360012422888,1152,1188,-8.47581213512505,-6.30564645044463,152,2.17016568468042,77.8020859128502,2156,2252,-3.38838861115198,-14.961205886458,156,-11.5728172753061,158.428845803662
